sub,region,title_kr,title_en,desc_kr,desc_en,addr_kr,addr_en,route_kr,duration,difficulty,budget_kr,naver_map,kakao_map,web,free,publish_at
recommend,강원 강릉,강릉 정동진 일출 코스,Gangneung Jeongdongjin Sunrise Course,"정동진 일출 + 모래시계공원 코스
▪ 정동진역 → 정동진 해변 일출 감상 → 모래시계공원
▪ 서울에서 KTX 2시간 → 정동진 도착
▪ 새해 일출 명소 전국 1위","Jeongdongjin sunrise + Hourglass Park
▪ Jeongdongjin Station → beach sunrise → Hourglass Park
▪ KTX 2hrs from Seoul to Jeongdongjin
▪ Korea's #1 New Year's sunrise spot",정동역길 17,"17 Jeongdongyeok-gil, Gangneung-si, Gangwon-do",KTX 강릉역 → 무궁화호 → 정동진역 (약 30분),3시간,easy,기차비 별도,https://map.naver.com/v5/search/정동진,https://map.kakao.com/link/search/정동진,해당없음,TRUE,
3hour,강원 강릉,주문진 수산시장 & 방파제 투어,Jumunjin Fish Market & Breakwater Tour,"주문진 수산시장 + 방파제 탐방
▪ 주문진항 → 수산시장 → 빨간 등대 방파제
▪ BTS 앨범 촬영지 (방파제)
▪ 갓 잡은 활어회 현장 구매·시식","Jumunjin Fish Market + breakwater walk
▪ Jumunjin Harbor → fish market → red lighthouse breakwater
▪ BTS album photo location (breakwater)
▪ Fresh live fish on-site purchase & tasting",주문북로 308,"308 Jumunbuk-ro, Jumunjin-eup, Gangneung-si, Gangwon-do",KTX 강릉역 → 시내버스 300번 → 주문진항 (약 30분),2시간,easy,무료 (회 별도),https://map.naver.com/v5/search/주문진+수산시장,https://map.kakao.com/link/search/주문진+수산시장,해당없음,TRUE,
3hour,강원 강릉,강릉 전통 한과 만들기 체험,Gangneung Traditional Hangwa Making,"강릉 전통 한과 제조 체험
▪ 강릉 한과 마을 → 직접 강정·약과 만들기
▪ 강릉 한과 전국 최고 산지
▪ 완성품 포장 후 선물용으로 가져가기","Gangneung traditional hangwa (Korean confection) making
▪ Gangneung hangwa village → make gangjung & yakgwa yourself
▪ Gangneung is Korea's top hangwa producing region
▪ Package completed treats as souvenirs",왕산면 도마길 37,"37 Doma-gil, Wangsan-myeon, Gangneung-si, Gangwon-do",KTX 강릉역 → 렌터카 또는 택시 (약 30분),2시간,easy,"30,000~50,000원",https://map.naver.com/v5/search/강릉+한과마을,https://map.kakao.com/link/search/강릉+한과마을,해당없음,FALSE,
recommend,강원 평창,평창 오대산 월정사 탐방,Pyeongchang Odaesan Woljeongsa Temple,"오대산 월정사 전나무숲길 + 절 탐방
▪ 전나무숲길 (1km) → 월정사 대웅전 → 적광전
▪ 천년 고찰 · 탱화·불상 문화재 다수
▪ 겨울 설경 특히 아름다움","Odaesan Woljeongsa Temple fir tree forest path
▪ Fir forest path (1km) → Main Hall → Jeokgwangjeon
▪ Millennium-old temple with cultural relics
▪ Especially beautiful winter snow scenery",진부면 오대산로 374-8,"374-8 Odaesan-ro, Jinbu-myeon, Pyeongchang-gun, Gangwon-do",KTX 진부역 → 시내버스 → 월정사 (약 20분),2시간,easy,"입장료 5,000원",https://map.naver.com/v5/search/월정사,https://map.kakao.com/link/search/월정사,https://www.woljeongsa.org,TRUE,
3hour,강원 동해,묵호항 & 논골담길 탐방,Mukho Harbor & Nongol Alley Tour,"묵호항 + 논골담길 벽화 골목 탐방
▪ 묵호항 → 논골담길 벽화 → 묵호등대 전망
▪ 바다 뷰 마을 언덕길 산책
▪ 오징어·대게 등 동해 해산물 시장","Mukho Harbor + Nongol-damdamgil mural alley
▪ Mukho Harbor → mural alley → Mukho Lighthouse view
▪ Ocean view hillside village walk
▪ Squid & snow crab East Sea seafood market",묵호진로 23,"23 Mukhojin-ro, Donghae-si, Gangwon-do",무궁화호 묵호역 → 도보 10분 → 묵호항,2시간,easy,무료,https://map.naver.com/v5/search/묵호항+논골담길,https://map.kakao.com/link/search/묵호항+논골담길,해당없음,TRUE,
3hour,강원 양양,양양 낙산사 & 의상대 코스,Yangyang Naksansa Temple & Uisangdae Pavilion,"낙산사 + 의상대 해안 코스
▪ 낙산사 홍련암 → 의상대 → 낙산해수욕장
▪ 동해 해돋이 명소 · 해수관음상
▪ 2005년 화재 복원 후 새단장","Naksansa Temple + Uisangdae coastal route
▪ Naksansa Hongnyeonam → Uisangdae → Naksan Beach
▪ East Sea sunrise spot · sea Gwaneum statue
▪ Restored after 2005 fire",낙산사로 100,"100 Naksansa-ro, Ganghyeon-myeon, Yangyang-gun, Gangwon-do",KTX 강릉역 → 시외버스 → 낙산 (약 40분) · 또는 속초버스터미널 → 1-1번 버스,2시간,easy,"입장료 4,000원",https://map.naver.com/v5/search/낙산사,https://map.kakao.com/link/search/낙산사,https://www.naksansa.or.kr,TRUE,
3hour,강원 양양,양양 서핑 입문 클래스,Yangyang Surfing Beginner Class,"양양 죽도해변 서핑 입문 클래스
▪ 기초 이론 → 보드 균형 → 실전 파도 탑승
▪ 서핑 보드·슈트 전부 대여 포함
▪ 국내 서핑 성지 · 연중 파도 좋음","Yangyang Jukdo Beach beginner surf class
▪ Basic theory → board balance → actual wave riding
▪ Surfboard & wetsuit rental fully included
▪ Korea's surfing mecca · good waves year-round",죽도해안길 1,"1 Jukdohaeandamgil, Hyeonbuk-myeon, Yangyang-gun, Gangwon-do",KTX 강릉역 → 시외버스 → 양양 → 죽도해변 (약 1시간),2시간,medium,"50,000~70,000원",https://map.naver.com/v5/search/양양+죽도해변+서핑,https://map.kakao.com/link/search/양양+죽도해변+서핑,해당없음,FALSE,
recommend,강원 인제,내린천 래프팅 코스,Naerin River Rafting Course,"인제 내린천 래프팅 코스
▪ 합강리 출발 → 내린천 급류 구간 (약 10km)
▪ 소요시간 약 2시간 · 전문 가이드 동반
▪ 5~9월 성수기 운영","Inje Naerin River rafting
▪ Hapgang-ri start → Naerin River rapids (~10km)
▪ Approx. 2 hours · professional guide included
▪ Peak season May–September",인제읍 합강리 일대,"Hapgang-ri, Inje-eup, Inje-gun, Gangwon-do",동서울터미널 → 인제 시외버스 (약 2시간) → 래프팅 업체 픽업,3시간,medium,"40,000~60,000원",https://map.naver.com/v5/search/인제+내린천+래프팅,https://map.kakao.com/link/search/인제+내린천+래프팅,해당없음,TRUE,
recommend,강원 홍천,비발디파크 & 오션월드 워터파크,Vivaldi Park Ocean World Water Park,"홍천 비발디파크 오션월드 워터파크
▪ 실내·외 워터파크 연중 운영
▪ 파도풀·슬라이드·스파 시설 완비
▪ 스키장 겸업 (겨울 스키 연계 가능)","Hongcheon Vivaldi Park Ocean World water park
▪ Indoor & outdoor water park open year-round
▪ Wave pool · slides · spa facilities
▪ Also a ski resort (winter ski connection available)",서면 한치골길 262,"262 Hanchigol-gil, Seo-myeon, Hongcheon-gun, Gangwon-do",동서울터미널 → 홍천 버스 → 비발디파크 셔틀 (총 약 1시간 30분),5시간,easy,"입장료 50,000~80,000원",https://map.naver.com/v5/search/비발디파크+오션월드,https://map.kakao.com/link/search/비발디파크+오션월드,https://www.daemyungresort.com/vp,TRUE,
1day,강원 정선,정선 아리랑 레일바이크 & 아우라지,Jeongseon Rail Bike & Auraji River,"정선 레일바이크 + 아우라지 코스
▪ 구절리역 → 아우라지역 레일바이크 (약 7.2km)
▪ 아우라지 강변 정선아리랑 발상지
▪ 5일장 (2·7일장) 연계 추천","Jeongseon rail bike + Auraji River course
▪ Gujeol-ri Station → Auraji Station rail bike (~7.2km)
▪ Auraji riverside · birthplace of Jeongseon Arirang
▪ 5-day market (2nd & 7th) recommended",여량면 아우라지길 12,"12 Auraji-gil, Nyoryang-myeon, Jeongseon-gun, Gangwon-do",청량리역 → 무궁화호 → 아우라지역 (약 3시간),5시간,easy,"레일바이크 25,000원",https://map.naver.com/v5/search/정선+레일바이크,https://map.kakao.com/link/search/정선+레일바이크,https://www.jeongseon.go.kr,TRUE,
recommend,강원 태백,태백 환선굴 & 용연동굴 탐방,Taebaek Hwanseon Cave & Yongyeon Cave,"태백 석회암 동굴 탐방 코스
▪ 환선굴 (국내 최대 석회암 동굴) → 용연동굴
▪ 동굴 내부 연중 12~13°C · 여름 피서 최적
▪ 모노레일 탑승 후 동굴 입장","Taebaek limestone cave exploration
▪ Hwanseon Cave (Korea's largest limestone cave) → Yongyeon Cave
▪ Cave interior year-round 12–13°C · perfect summer retreat
▪ Monorail ride before cave entry",삼척시 신기면 환선로 800,"800 Hwanseon-ro, Singi-myeon, Samcheok-si, Gangwon-do",동서울터미널 → 삼척 시외버스 → 환선굴 버스 (약 3시간),3시간,easy,"입장료 성인 13,000원",https://map.naver.com/v5/search/환선굴,https://map.kakao.com/link/search/환선굴,https://www.samcheok.go.kr,TRUE,
3hour,강원 춘천,춘천 남이섬 당일 코스,Chuncheon Nami Island Day Trip,"춘천 남이섬 당일 나들이 코스
▪ 가평선착장 → 나룻배 탑승 → 은행나무길 산책
▪ 드라마 '겨울연가' 촬영지
▪ 자전거 대여 (시간당 3,000원) 섬 일주","Chuncheon Nami Island day trip
▪ Gapyeong ferry dock → boat → ginkgo tree path walk
▪ 'Winter Sonata' drama filming location
▪ Bike rental (3,000 KRW/hr) island tour",가평군 남이섬길 1,"1 Namisum-gil, Gapyeong-gun, Gyeonggi-do",경춘선 가평역 1번 출구 → 셔틀버스 10분 → 선착장 나룻배 탑승,3시간,easy,"입도료 성인 16,000원",https://map.naver.com/v5/search/남이섬,https://map.kakao.com/link/search/남이섬,https://www.namisum.com,TRUE,
3hour,강원 춘천,춘천 닭갈비 골목 & 소양강 스카이워크,Chuncheon Dakgalbi Alley & Soyang River Skywalk,"춘천 닭갈비 골목 + 소양강 스카이워크
▪ 명동 닭갈비 골목 → 막국수 → 소양강 스카이워크
▪ 닭갈비 원조 도시 · 철판 vs 화로 선택
▪ 소양강 스카이워크 투명 바닥 강 전망","Chuncheon dakgalbi alley + Soyang River Skywalk
▪ Myeongdong dakgalbi alley → makguksu → Soyang River Skywalk
▪ Original dakgalbi city · iron plate vs charcoal grill
▪ Soyang River Skywalk transparent floor river view",낙원길 35 (닭갈비 골목),"35 Nagwon-gil, Chuncheon-si, Gangwon-do",경춘선 춘천역 → 시내버스 11번 → 명동 닭갈비 골목 (약 15분),3시간,easy,"닭갈비 1인 15,000원~",https://map.naver.com/v5/search/춘천+닭갈비골목,https://map.kakao.com/link/search/춘천+닭갈비골목,해당없음,TRUE,
nightview,강원 강릉,강릉 안목 커피거리 야경 & 야간 카페 투어,Gangneung Anmok Coffee Street Night Tour,"강릉 안목해변 야간 커피거리 탐방
▪ 안목해변 → 커피거리 야경 산책 → 자정 카페
▪ 동해 파도 소리 배경 감성 커피 타임
▪ 심야 영업 카페 다수 (새벽 2~3시까지)","Gangneung Anmok Beach night coffee street
▪ Anmok Beach → coffee street night walk → late-night cafes
▪ Coffee time with East Sea waves as background
▪ Many cafes open until 2–3am",창해로 307,"307 Changhae-ro, Gangneung-si, Gangwon-do",KTX 강릉역 → 시내버스 202번 → 안목해변 정류장 (약 15분),2시간,easy,"음료 7,000원~",https://map.naver.com/v5/search/강릉+안목해변+카페,https://map.kakao.com/link/search/강릉+안목해변+카페,해당없음,TRUE,
recommend,강원 강릉,대관령 목장 체험 & 하늘목장 트레킹,Daegwallyeong Ranch & Sky Ranch Trekking,"대관령 하늘목장 체험 코스
▪ 양몰이 공연 → 양 먹이주기 → 트레킹
▪ 해발 850m · 운해·억새 절경
▪ 트랙터 마차 투어 (별도 요금)","Daegwallyeong Sky Ranch experience
▪ Sheep herding show → sheep feeding → trekking
▪ Altitude 850m · sea of clouds & pampas grass scenery
▪ Tractor wagon tour (additional fee)",성산면 어흘리 산1-1,"San 1-1, Eoheul-ri, Seongsan-myeon, Gangneung-si, Gangwon-do",KTX 강릉역 → 하늘목장 셔틀버스 (주말 운행·사전 확인 필수),3시간,easy,"입장료 성인 12,000원",https://map.naver.com/v5/search/하늘목장,https://map.kakao.com/link/search/하늘목장,https://www.skylake.co.kr,FALSE,
3hour,강원 강릉,강릉 단오제 & 오죽헌 문화 탐방,Gangneung Dano Festival & Cultural Tour,"강릉 단오제 + 오죽헌 문화 탐방 코스
▪ 유네스코 무형문화유산 강릉단오제 (음력 5월)
▪ 단오 굿·탈놀이·그네뛰기 체험 가능
▪ 오죽헌 연계 역사 탐방","Gangneung Dano Festival + Ojukheon cultural tour
▪ UNESCO Intangible Heritage Gangneung Dano Festival (lunar May)
▪ Dano ritual · mask dance · swing experience
▪ Ojukheon historical tour connection",남대천로 일대 (단오공원),"Dano Park, Namdaecheon-ro area, Gangneung-si, Gangwon-do",KTX 강릉역 → 시내버스 → 단오공원 (약 15분),2시간,easy,무료 (단오 기간),https://map.naver.com/v5/search/강릉단오제,https://map.kakao.com/link/search/강릉단오제,https://www.danojefestival.or.kr,TRUE,
3hour,인천 중구,인천 개항장 근대 역사 투어,Incheon Open Port Modern History Tour,"인천 개항장 근대 건축물 탐방
▪ 인천역 → 차이나타운 → 개항박물관 → 일본풍 건물
▪ 1883년 개항 이후 남은 근대 건축물 밀집
▪ 짜장면 박물관 무료 관람","Incheon open port modern architecture tour
▪ Incheon Station → Chinatown → Open Port Museum → Japanese-style buildings
▪ Modern buildings from 1883 port opening era
▪ Jjajangmyeon Museum free admission",신포로 23번길 101,"101 Sinpo-ro 23beon-gil, Jung-gu, Incheon",1호선 인천역 1번 출구 → 도보 5분 → 개항장 문화지구,2시간,easy,무료,https://map.naver.com/v5/search/인천+개항장,https://map.kakao.com/link/search/인천+개항장,해당없음,TRUE,
3hour,인천 중구,인천 자유공원 & 맥아더 동상,Incheon Freedom Park & MacArthur Statue,"인천 자유공원 + 한국전쟁 역사 탐방
▪ 맥아더 동상 → 자유공원 전망 → 인천항 뷰
▪ 인천상륙작전 기념 역사 공간
▪ 인천 차이나타운·개항장 연계","Incheon Freedom Park + Korean War history
▪ MacArthur statue → park view → Incheon Harbor view
▪ Incheon Landing Operation memorial site
▪ Connects to Chinatown & open port area",자유공원남로 25,"25 Jayugongwon-namno, Jung-gu, Incheon",1호선 인천역 1번 출구 → 도보 15분 → 자유공원 입구,1.5시간,easy,무료,https://map.naver.com/v5/search/인천자유공원,https://map.kakao.com/link/search/인천자유공원,해당없음,TRUE,
3hour,인천 연수,송도 센트럴파크 & G타워 전망,Songdo Central Park & G-Tower View,"송도국제도시 센트럴파크 탐방
▪ 센트럴파크 수변 산책 → G타워 33층 전망대
▪ 카약·보트 체험 가능 (유료)
▪ 트라이볼·NC큐브 연계 쇼핑","Songdo International City Central Park
▪ Central Park waterfront walk → G-Tower 33F observatory
▪ Kayak & boat available (fee)
▪ Tribowell & NC Cube shopping nearby",센트럴로 163,"163 Senteurol-ro, Yeonsu-gu, Incheon",인천1호선 센트럴파크역 1번 출구 → 도보 3분 → 센트럴파크,2시간,easy,무료 (G타워 무료),https://map.naver.com/v5/search/송도센트럴파크,https://map.kakao.com/link/search/송도센트럴파크,해당없음,TRUE,
3hour,인천 강화,강화도 고려궁지 & 강화산성 코스,Ganghwa Goryeo Palace Site & Fortress,"강화도 고려궁지 + 강화산성 탐방
▪ 고려궁지 → 강화산성 → 갑곶돈대 → 용흥궁
▪ 고려 시대 임시 수도 역사 현장
▪ 강화도 나들이 당일치기 핵심 코스","Ganghwa Goryeo Palace ruins + fortress
▪ Goryeo Palace → Ganghwa Fortress → Gabjok Battery → Yongheung Palace
▪ Goryeo-era temporary capital historic site
▪ Core day-trip course on Ganghwa Island",강화읍 관청리 471,"471 Gwancheong-ri, Ganghwa-eup, Ganghwa-gun, Incheon",신촌역(2호선) → 3000번 버스 → 강화터미널 → 군내버스 (총 약 1시간 30분),3시간,easy,무료,https://map.naver.com/v5/search/강화도+고려궁지,https://map.kakao.com/link/search/강화도+고려궁지,해당없음,TRUE,
recommend,인천 강화,강화도 마니산 & 참성단 트레킹,Ganghwa Manisan Mountain & Chamseongdan Altar,"강화 마니산 참성단 트레킹
▪ 함허동천 → 계단로 → 참성단 (해발 469m)
▪ 단군왕검 제천 유적 · 전국체전 성화 채화지
▪ 서해·경기만 조망 탁월","Ganghwa Manisan Mountain Chamseongdan trekking
▪ Hamheodongcheon → stairway → Chamseongdan altar (469m)
▪ Dangun royal ritual site · National Games torch lighting spot
▪ Excellent Yellow Sea & Gyeonggi Bay views",화도면 마니산로 675,"675 Manisan-ro, Hwado-myeon, Ganghwa-gun, Incheon",신촌역 → 3000번 → 강화터미널 → 마니산 버스 (총 약 2시간),4시간,hard,"입장료 2,000원",https://map.naver.com/v5/search/마니산+참성단,https://map.kakao.com/link/search/마니산+참성단,해당없음,TRUE,
3hour,인천 옹진,영종도 을왕리 해수욕장 & 선녀바위,Yeongjongdo Eulwangri Beach & Fairy Rock,"영종도 을왕리 해수욕장 + 선녀바위 탐방
▪ 을왕리해수욕장 → 선녀바위 → 왕산해수욕장
▪ 인천공항에서 15분 거리 · 서해 낙조 명소
▪ 조개구이·해산물 식당 밀집","Yeongjongdo Eulwangri Beach + Seonnyeo Rock
▪ Eulwangri Beach → Seonnyeo Rock → Wangsan Beach
▪ 15min from Incheon Airport · West Sea sunset spot
▪ Clam BBQ & seafood restaurants cluster",을왕동 을왕리해수욕장길,"Eulwangri Beach, Eulwang-dong, Jung-gu, Incheon",공항철도 운서역 → 버스 환승 → 을왕리해수욕장 (약 20분),2시간,easy,무료,https://map.naver.com/v5/search/을왕리해수욕장,https://map.kakao.com/link/search/을왕리해수욕장,해당없음,TRUE,
recommend,인천 중구,인천 월미도 & 월미테마파크,Incheon Wolmido & Theme Park,"인천 월미도 나들이 코스
▪ 월미도 선착장 → 월미테마파크 → 문화의거리
▪ 디스코 팡팡·바이킹 등 놀이기구
▪ 월미도 바닷가 조개구이 필수","Incheon Wolmido day trip
▪ Wolmido dock → Wolmi Theme Park → Culture Street
▪ Disco Pang Pang · Viking & other rides
▪ Wolmido seaside clam BBQ is a must",월미문화로 11,"11 Wolmi Munhwa-ro, Jung-gu, Incheon",1호선 인천역 → 월미도 셔틀버스 (토·일) 또는 도보 20분,3시간,easy,놀이기구 별도,https://map.naver.com/v5/search/월미도,https://map.kakao.com/link/search/월미도,해당없음,TRUE,
recommend,인천 연수,인천 소래포구 어시장 탐방,Incheon Sorae Fish Market Tour,"인천 소래포구 재래 어시장 탐방
▪ 소래포구 → 소래역사관 → 소래습지생태공원
▪ 새우·꽃게·대하 제철 수산물 직판
▪ 갯벌 탐조·자연 생태 체험 연계","Incheon Sorae traditional fish market
▪ Sorae Fish Market → Sorae History Museum → Sorae Wetland Eco Park
▪ Shrimp · blue crab · large prawn seasonal seafood direct market
▪ Tidal flat bird watching & eco experience",소래역사길 19,"19 Sorae Yeoksa-gil, Namdong-gu, Incheon",수인·분당선 소래포구역 1번 출구 → 도보 5분 → 소래포구,3시간,easy,무료 (수산물 별도),https://map.naver.com/v5/search/소래포구,https://map.kakao.com/link/search/소래포구,해당없음,TRUE,
1day,인천 옹진,백령도 하루 당일치기 여행,Baengnyeongdo Island Day Trip,"서해 최북단 백령도 당일 여행
▪ 인천항 여객터미널 → 쾌속선 4시간 → 백령도
▪ 콩돌해안 · 두무진 기암절벽 · 사곶해변
▪ 국내 최고 서해 자연경관","West Sea's northernmost Baengnyeong Island day trip
▪ Incheon Ferry Terminal → express ferry 4hrs → Baengnyeong Island
▪ Kongdol Beach · Dumujin rock cliffs · Sagot Beach
▪ Korea's finest West Sea natural scenery",인천 중구 연안부두로 12,"12 Yeonan Budu-ro, Jung-gu, Incheon (Ferry Terminal)",1호선 동인천역 → 도보 15분 → 인천연안여객터미널 → 쾌속선,전일 (약 12시간),easy,"쾌속선 왕복 약 90,000원",https://map.naver.com/v5/search/백령도,https://map.kakao.com/link/search/백령도,해당없음,TRUE,
3hour,인천 연수,인천 스카이72 골프·드라이빙레인지,Incheon Sky72 Golf & Driving Range,"영종도 스카이72 드라이빙 레인지 체험
▪ 국내 최대 드라이빙 레인지 · 서해 오션뷰
▪ 초보 골프 레슨 프로그램 운영
▪ 인천공항 인근 · 환승 시간 활용 가능","Yeongjongdo Sky72 driving range
▪ Korea's largest driving range · West Sea ocean view
▪ Beginner golf lesson programs available
▪ Near Incheon Airport · use during transit time",공항남로 321,"321 Gonghangnnam-ro, Jung-gu, Incheon",공항철도 운서역 → 셔틀버스 → 스카이72 (약 10분),2시간,easy,"50,000~100,000원",https://map.naver.com/v5/search/스카이72골프,https://map.kakao.com/link/search/스카이72골프,https://www.sky72.com,FALSE,
3hour,인천 부평,부평 지하도상가 & 레트로 탐방,Bupyeong Underground Arcade & Retro Tour,"인천 부평 지하상가 + 레트로 탐방
▪ 부평지하상가 (국내 최대) → 부평시장
▪ 의류·신발·액세서리 등 4,000개+ 점포
▪ 인천 로컬 먹거리 골목 연계","Incheon Bupyeong underground shopping + retro tour
▪ Bupyeong Underground Arcade (Korea's largest) → Bupyeong Market
▪ Clothing · shoes · accessories 4,000+ stores
▪ Incheon local food alley connection",부평대로 12,"12 Bupyeong-daero, Bupyeong-gu, Incheon",1호선·7호선 부평역 1번 출구 → 도보 1분 → 부평지하상가 입구,2시간,easy,무료 (쇼핑 별도),https://map.naver.com/v5/search/부평지하상가,https://map.kakao.com/link/search/부평지하상가,해당없음,TRUE,
recommend,인천 강화,강화도 전등사 & 정족산성 탐방,Ganghwa Jeondeungsa Temple & Fortress,"강화 전등사 + 정족산성 코스
▪ 전등사 (381년 창건 국내 최고 고찰) → 정족산성
▪ 삼랑성 내부 사찰 · 병인양요 항쟁 현장
▪ 가을 단풍 특히 아름다움","Ganghwa Jeondeungsa Temple + Jeongjok Mountain Fortress
▪ Jeondeungsa (founded 381 AD, Korea's oldest operating temple) → fortress
▪ Temple inside Samnang Fortress · Byeonginyangyo battle site
▪ Especially beautiful autumn foliage",길상면 전등사로 37-41,"37-41 Jeondeungsa-ro, Gilsang-myeon, Ganghwa-gun, Incheon",신촌역 → 3000번 → 강화터미널 → 전등사 버스 (총 약 2시간),3시간,easy,"입장료 3,000원",https://map.naver.com/v5/search/전등사,https://map.kakao.com/link/search/전등사,https://www.jeondeungsa.org,TRUE,
3hour,인천 중구,인천 신포시장 & 신포국제시장,Incheon Sinpo Market & Food Tour,"인천 신포시장 먹거리 투어
▪ 신포닭강정 원조 → 쫄면 발상지 → 공갈빵
▪ 쫄면이 탄생한 인천 신포시장
▪ 차이나타운·개항장 연계 도보 5분","Incheon Sinpo Market food tour
▪ Original Sinpo dakgangjeong → jjolmyeon birthplace → gonggalbang
▪ Jjolmyeon (spicy noodle) originated here
▪ 5min walk to Chinatown & open port area",신포로 27번길 일대,"Sinpo-ro 27beon-gil area, Jung-gu, Incheon",1호선 동인천역 3번 출구 → 도보 5분 → 신포시장,1.5시간,easy,"식비 10,000원~",https://map.naver.com/v5/search/인천+신포시장,https://map.kakao.com/link/search/인천+신포시장,해당없음,TRUE,
recommend,인천 서,인천 드림파크 캠핑 & 야외 체험,Incheon Dream Park Camping & Outdoor,"인천 드림파크 오토캠핑 & 자연 체험
▪ 오토캠핑장 → 수목원 → 야외 물놀이
▪ 수도권 가족 캠핑 1번지
▪ 사전 예약 필수 (성수기 수개월 전)","Incheon Dream Park auto camping & nature experience
▪ Auto camping → arboretum → outdoor water play
▪ Capital area's top family camping destination
▪ Advance reservation required (months ahead in peak season)",매립지로 136,"136 Maerip-ji-ro, Seo-gu, Incheon",지하철 1호선 검암역 → 버스 → 드림파크 (약 30분),전일,easy,"캠핑 30,000~50,000원",https://map.naver.com/v5/search/인천드림파크캠핑,https://map.kakao.com/link/search/인천드림파크캠핑,해당없음,FALSE,
3hour,인천 남동,인천 논현 포구 & 호구포 낙조,Incheon Nonhyeon Port & Sunset View,"인천 논현 포구 + 호구포 낙조 코스
▪ 논현포구 → 호구포 낙조 전망 → 인천대공원 연계
▪ 서해 낙조 인천 최고 포인트
▪ 갯벌 산책·조개 채취 가능 (간조 시)","Incheon Nonhyeon Port + Hogupo sunset
▪ Nonhyeon Port → Hogupo sunset view → Incheon Grand Park
▪ Best West Sea sunset spot in Incheon
▪ Tidal flat walk & clam picking available at low tide",남동구 논현동 포구 일대,"Nonhyeon-dong port area, Namdong-gu, Incheon",수인·분당선 소래포구역 → 버스 → 논현포구 (약 15분),2시간,easy,무료,https://map.naver.com/v5/search/인천+논현포구,https://map.kakao.com/link/search/인천+논현포구,해당없음,TRUE,
recommend,인천 강화,강화도 석모도 보문사 & 낙가산 코스,Ganghwa Seongmodo Bomunsa Temple & Nagasan,"석모도 보문사 + 낙가산 코스
▪ 외포리 선착장 → 석모도 → 보문사 마애석불
▪ 한국 3대 관음 성지 중 하나
▪ 낙가산 정상 서해 조망 탁월","Seongmodo Island Bomunsa Temple + Nagasan
▪ Oepori Ferry dock → Seongmodo → Bomunsa rock-carved Buddha
▪ One of Korea's 3 major Gwaneumbosal sacred sites
▪ Excellent West Sea views from Nagasan summit",삼산면 매음리 629,"629 Maeum-ri, Samsan-myeon, Ganghwa-gun, Incheon",신촌역 → 3000번 → 강화터미널 → 외포리 선착장 버스 → 석모도 배 (총 약 2시간 30분),3시간,medium,"배편 왕복 2,000원 + 입장료 2,000원",https://map.naver.com/v5/search/보문사+석모도,https://map.kakao.com/link/search/보문사+석모도,해당없음,TRUE,
3hour,인천 계양,인천 계양산 등산 & 계양구청 문화거리,Incheon Gyeyangsan Mountain Hike,"인천 계양산 등산 코스
▪ 계양역 → 계양산 정상 (395m) → 계양산성
▪ 인천 시내 조망 최고 포인트
▪ 초보자 가능 · 왕복 약 2시간","Incheon Gyeyangsan Mountain hiking
▪ Gyeyang Station → Gyeyangsan summit (395m) → Gyeyangsan Fortress
▪ Best vantage point for Incheon city views
▪ Beginner-friendly · round trip ~2 hours",계양구 계양산로 일대,"Gyeyangsan-ro area, Gyeyang-gu, Incheon",7호선 계양역 2번 출구 → 도보 20분 → 계양산 등산 입구,2.5시간,medium,무료,https://map.naver.com/v5/search/계양산,https://map.kakao.com/link/search/계양산,해당없음,TRUE,
recommend,인천 연수,인천 파라다이스시티 아트테인먼트,Incheon Paradise City Art & Entertainment,"인천공항 인근 파라다이스시티 탐방
▪ 아트파라다이스 → 플루토 클럽 → 스파 체험
▪ 국내외 유명 작품 전시 상설 운영
▪ 인천공항 셔틀 운행 · 환승객 추천","Incheon Airport adjacent Paradise City
▪ Art Paradise → Pluto Club → Spa experience
▪ Permanent exhibition of renowned artworks
▪ Airport shuttle service · recommended for transit passengers",영종해안남로321번길 186,"186 Yeongjonghaean namno 321 beon-gil, Jung-gu, Incheon",공항철도 인천공항1터미널역 → 파라다이스시티 셔틀 (약 5분),3시간,easy,입장료 별도,https://map.naver.com/v5/search/파라다이스시티+인천,https://map.kakao.com/link/search/파라다이스시티+인천,https://www.p-city.com,FALSE,
3hour,인천 옹진,덕적도 & 서포리해수욕장 당일치기,Deokjeok Island & Seopo Beach Day Trip,"덕적도 서포리해수욕장 당일 여행
▪ 인천항 → 쾌속선 1시간 → 덕적도 → 서포리해수욕장
▪ 수도권 근거리 섬 해수욕 명소
▪ 솔밭 캠핑장 연계 가능","Deokjeok Island Seopo Beach day trip
▪ Incheon Harbor → express ferry 1hr → Deokjeok Island → Seopo Beach
▪ Nearest island beach from Seoul metro area
▪ Pine forest campsite connection available",옹진군 덕적면 서포리,"Seopo-ri, Deokjeok-myeon, Ongjin-gun, Incheon",인천연안여객터미널 → 쾌속선 → 덕적도 (약 1시간),전일,easy,"쾌속선 왕복 약 40,000원",https://map.naver.com/v5/search/덕적도+서포리해수욕장,https://map.kakao.com/link/search/덕적도+서포리해수욕장,해당없음,TRUE,
